"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0091085,3.1938,5.5269e-21,1.093,1,8.3919,22.847,-28.651,0
-0.0091779,3.1956,5.7622e-21,1.0873,1,8.4612,22.854,-28.582,0
-0.0091432,3.1974,6.912e-21,1.0815,1,8.5306,22.861,-28.513,0
-0.0090615,3.1993,8.317e-21,1.0757,1,8.5999,22.868,-28.444,0
-0.0089779,3.2012,9.552e-21,1.0699,1,8.6693,22.875,-28.375,0
-0.0088923,3.2031,1.0617e-20,1.0641,1,8.7386,22.882,-28.306,0
-0.0088049,3.205,1.1513e-20,1.0583,1,8.808,22.889,-28.237,0
-0.0087154,3.2069,1.224e-20,1.0524,1,8.8773,22.896,-28.168,0
-0.0086241,3.2088,1.2797e-20,1.0465,1,8.9467,22.903,-28.099,0
-0.0085308,3.2107,1.3186e-20,1.0407,1,9.016,22.91,-28.03,0
-0.0084357,3.2127,1.3406e-20,1.0348,1,9.0854,22.917,-27.961,0
-0.0083385,3.2146,1.3458e-20,1.0289,1,9.1547,22.924,-27.892,0
-0.0082395,3.2165,1.3341e-20,1.023,1,9.2241,22.931,-27.823,0
-0.0081386,3.2184,1.3056e-20,1.0171,1,9.2935,22.938,-27.754,0
-0.0080357,3.2204,1.2604e-20,1.0112,1,9.3628,22.945,-27.685,0
-0.0079244,3.2223,1.1898e-20,1.0052,1,9.4322,22.952,-27.616,0
-0.007472,3.2242,6.6456e-21,0.99905,1,9.5015,22.959,-27.547,0
-0.0070125,3.2261,1.2753e-21,0.99286,1,9.5709,22.966,-27.478,0
-0.0065461,3.2279,-4.2125e-21,0.98665,1,9.6402,22.973,-27.409,0
-0.0060727,3.2298,-9.8177e-21,0.98043,1,9.7096,22.98,-27.34,0
-0.0055923,3.2317,-1.554e-20,0.97419,1,9.7789,22.987,-27.271,0
-0.005105,3.2336,-2.138e-20,0.96793,1,9.8483,22.994,-27.202,0
-0.004655,3.2354,-2.5595e-20,0.96157,1,9.9176,23.001,-27.133,0
-0.0042125,3.2372,-2.9213e-20,0.95516,1,9.987,23.008,-27.064,0
-0.0037725,3.239,-3.2419e-20,0.94873,1,10.056,23.015,-26.995,0
-0.003335,3.2409,-3.5213e-20,0.94227,1,10.126,23.022,-26.926,0
-0.0029,3.2427,-3.7595e-20,0.93578,1,10.195,23.029,-26.857,0
-0.0024675,3.2445,-3.9565e-20,0.92927,1,10.264,23.036,-26.788,0
-0.0020375,3.2463,-4.1126e-20,0.92272,1,10.334,23.043,-26.719,0
-0.0015569,3.2482,-4.2315e-20,0.91608,1,10.403,23.05,-26.65,0
-0.00076897,3.2503,-4.3628e-20,0.90896,1,10.472,23.057,-26.581,0
1.3569e-05,3.2524,-4.5059e-20,0.90181,1,10.542,23.064,-26.512,0
0.00079068,3.2545,-4.6608e-20,0.89461,1,10.611,23.071,-26.443,0
0.0015624,3.2567,-4.8275e-20,0.88737,1,10.681,23.078,-26.374,0
0.0023288,3.2588,-5.006e-20,0.88009,1,10.75,23.085,-26.305,0
0.0030897,3.261,-5.1962e-20,0.87277,1,10.819,23.092,-26.236,0
0.0038453,3.2631,-5.3982e-20,0.86541,1,10.889,23.099,-26.167,0
0.0045955,3.2653,-5.612e-20,0.85801,1,10.958,23.106,-26.098,0
0.0053403,3.2675,-5.8375e-20,0.85057,1,11.027,23.113,-26.029,0
0.0060798,3.2697,-6.0748e-20,0.84309,1,11.097,23.12,-25.96,0
0.0068139,3.2719,-6.3237e-20,0.83557,1,11.166,23.127,-25.891,0
0.0075427,3.274,-6.5844e-20,0.82801,1,11.235,23.134,-25.822,0
0.0082661,3.2762,-6.8567e-20,0.82041,1,11.305,23.141,-25.753,0
