"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.014003,0.69526,7.83e-21,0.26364,1,13.532,56.337,7.9655,0
0.013517,0.67112,7.5581e-21,0.23855,1,13.603,56.344,8.036,0
0.01303,0.64697,7.2862e-21,0.21346,1,13.673,56.351,8.1065,0
0.012544,0.62283,7.0143e-21,0.18837,1,13.744,56.358,8.177,0
0.012058,0.59869,6.7424e-21,0.16329,1,13.815,56.365,8.2475,0
0.011572,0.57454,6.4705e-21,0.1382,1,13.886,56.372,8.318,0
0.011085,0.5504,6.1986e-21,0.11311,1,13.957,56.379,8.3885,0
0.010599,0.52626,5.9268e-21,0.08802,1,14.028,56.386,8.459,0
0.010113,0.50212,5.6549e-21,0.062931,1,14.098,56.393,8.5295,0
0.0096266,0.47797,5.383e-21,0.037842,1,14.169,56.4,8.6,0
0.0091404,0.45383,5.1111e-21,0.012753,1,14.24,56.407,8.6705,0
0.0086541,0.42969,4.8392e-21,-0.012336,1,14.311,56.414,8.741,0
0.012576,0.42694,-2.4373e-21,-0.04033,1,14.382,56.421,8.8115,0
0.016587,0.42462,-9.8548e-21,-0.069029,1,14.453,56.428,8.882,0
0.015537,0.39774,-9.2311e-21,-0.11861,1,14.524,56.435,8.9525,0
0.014487,0.37087,-8.6074e-21,-0.16819,1,14.594,56.442,9.023,0
0.013438,0.34399,-7.9837e-21,-0.21777,1,14.665,56.449,9.0935,0
0.012388,0.31712,-7.36e-21,-0.26736,1,14.736,56.456,9.164,0
0.011338,0.29025,-6.7363e-21,-0.31694,1,14.807,56.463,9.2345,0
0.010288,0.26337,-6.1126e-21,-0.36652,1,14.878,56.47,9.305,0
0.0092385,0.2365,-5.4889e-21,-0.4161,1,14.949,56.477,9.3755,0
0.0081887,0.20963,-4.8652e-21,-0.46568,1,15.019,56.484,9.446,0
0.0071389,0.18275,-4.2415e-21,-0.51527,1,15.09,56.491,9.5165,0
0.0060892,0.15588,-3.6178e-21,-0.56485,1,15.161,56.498,9.587,0
0.0050394,0.12901,-2.9941e-21,-0.61443,1,15.232,56.505,9.6575,0
0.0039897,0.10213,-2.3704e-21,-0.66401,1,15.303,56.512,9.728,0
0.0059161,0.086336,5.1229e-22,-0.71905,1,15.374,56.519,9.7985,0
0.0038034,0.055505,3.2935e-22,-0.8121,1,15.445,56.526,9.869,0
0.0016908,0.024674,1.4641e-22,-0.90514,1,15.515,56.533,9.9395,0
nan,nan,nan,nan,0,15.586,56.54,10.01,0
nan,nan,nan,nan,0,15.657,56.547,10.08,0
nan,nan,nan,nan,0,15.728,56.554,10.151,0
nan,nan,nan,nan,0,15.799,56.561,10.222,0
nan,nan,nan,nan,0,15.87,56.568,10.292,0
